"Date","Additions","Deletions"
"2022-01-30 00:00:00",3276,-171
"2022-02-06 00:00:00",3002,-2828
"2022-02-13 00:00:00",1400,-2104
"2022-02-20 00:00:00",205,0
"2022-02-27 00:00:00",6,-6
"2022-03-06 00:00:00",0,0
"2022-03-13 00:00:00",13,-9
"2022-03-20 00:00:00",0,0
"2022-03-27 00:00:00",2590,-914
"2022-04-03 00:00:00",33,-21
"2022-04-10 00:00:00",0,0
"2022-04-17 00:00:00",200,-148
"2022-04-24 00:00:00",0,0
"2022-05-01 00:00:00",0,0
"2022-05-08 00:00:00",0,0
"2022-05-15 00:00:00",0,0
"2022-05-22 00:00:00",0,0
"2022-05-29 00:00:00",0,0
"2022-06-05 00:00:00",0,0
"2022-06-12 00:00:00",0,0
"2022-06-19 00:00:00",0,0
"2022-06-26 00:00:00",2,-2
"2022-07-03 00:00:00",1,0
"2022-07-10 00:00:00",0,0
"2022-07-17 00:00:00",0,0
"2022-07-24 00:00:00",0,0
"2022-07-31 00:00:00",0,0
"2022-08-07 00:00:00",0,0
"2022-08-14 00:00:00",0,0
"2022-08-21 00:00:00",0,0
"2022-08-28 00:00:00",0,0
"2022-09-04 00:00:00",270,-26
"2022-09-11 00:00:00",5,-5
"2022-09-18 00:00:00",530,-27
"2022-09-25 00:00:00",0,0
"2022-10-02 00:00:00",3,0
"2022-10-09 00:00:00",0,0
"2022-10-16 00:00:00",118,-112
"2022-10-23 00:00:00",0,0
"2022-10-30 00:00:00",0,0
"2022-11-06 00:00:00",0,0
"2022-11-13 00:00:00",0,0
"2022-11-20 00:00:00",0,0
"2022-11-27 00:00:00",209,-192
"2022-12-04 00:00:00",2876,0
"2022-12-11 00:00:00",0,0
"2022-12-18 00:00:00",0,0
"2022-12-25 00:00:00",0,0
"2023-01-01 00:00:00",0,0
"2023-01-08 00:00:00",0,0
"2023-01-15 00:00:00",12,-6
"2023-01-22 00:00:00",0,0
"2023-01-29 00:00:00",0,0
"2023-02-05 00:00:00",0,0
"2023-02-12 00:00:00",0,0
"2023-02-19 00:00:00",0,0
"2023-02-26 00:00:00",0,0
"2023-03-05 00:00:00",0,0
"2023-03-12 00:00:00",22,0
"2023-03-19 00:00:00",0,0
"2023-03-26 00:00:00",0,0
"2023-04-02 00:00:00",0,0
"2023-04-09 00:00:00",0,0
"2023-04-16 00:00:00",0,0
"2023-04-23 00:00:00",0,0
"2023-04-30 00:00:00",0,0
"2023-05-07 00:00:00",0,0
"2023-05-14 00:00:00",0,0
"2023-05-21 00:00:00",0,0
"2023-05-28 00:00:00",0,0
"2023-06-04 00:00:00",0,0
"2023-06-11 00:00:00",0,0
"2023-06-18 00:00:00",0,0
"2023-06-25 00:00:00",0,0
"2023-07-02 00:00:00",0,0
"2023-07-09 00:00:00",0,0
"2023-07-16 00:00:00",0,0
"2023-07-23 00:00:00",0,0
"2023-07-30 00:00:00",0,0
"2023-08-06 00:00:00",0,0
"2023-08-13 00:00:00",0,0
"2023-08-20 00:00:00",0,0
"2023-08-27 00:00:00",0,0
"2023-09-03 00:00:00",0,0
"2023-09-10 00:00:00",0,0
"2023-09-17 00:00:00",0,0
"2023-09-24 00:00:00",0,0
"2023-10-01 00:00:00",0,0
"2023-10-08 00:00:00",0,0
"2023-10-15 00:00:00",0,0
"2023-10-22 00:00:00",0,0
"2023-10-29 00:00:00",0,0
"2023-11-05 00:00:00",0,0
"2023-11-12 00:00:00",0,0
"2023-11-19 00:00:00",0,0
"2023-11-26 00:00:00",0,0
"2023-12-03 00:00:00",0,0
"2023-12-10 00:00:00",0,0
"2023-12-17 00:00:00",0,0
"2023-12-24 00:00:00",0,0
"2023-12-31 00:00:00",0,0
"2024-01-07 00:00:00",1849,-1
"2024-01-14 00:00:00",0,-209
"2024-01-21 00:00:00",0,0
"2024-01-28 00:00:00",0,0
"2024-02-04 00:00:00",0,0
"2024-02-11 00:00:00",0,0
"2024-02-18 00:00:00",0,0
"2024-02-25 00:00:00",0,0
"2024-03-03 00:00:00",0,0
"2024-03-10 00:00:00",0,0
"2024-03-17 00:00:00",0,0
"2024-03-24 00:00:00",0,0
"2024-03-31 00:00:00",0,0
"2024-04-07 00:00:00",0,0
"2024-04-14 00:00:00",0,0
"2024-04-21 00:00:00",0,0
"2024-04-28 00:00:00",0,0
"2024-05-05 00:00:00",0,0
"2024-05-12 00:00:00",0,0
"2024-05-19 00:00:00",0,0
"2024-05-26 00:00:00",0,0
"2024-06-02 00:00:00",0,0
"2024-06-09 00:00:00",0,0
"2024-06-16 00:00:00",0,0
"2024-06-23 00:00:00",0,0
"2024-06-30 00:00:00",0,0
"2024-07-07 00:00:00",0,0
"2024-07-14 00:00:00",0,0
"2024-07-21 00:00:00",0,0
"2024-07-28 00:00:00",0,0
"2024-08-04 00:00:00",0,0
"2024-08-11 00:00:00",0,0
"2024-08-18 00:00:00",0,0
"2024-08-25 00:00:00",0,0
"2024-09-01 00:00:00",0,0
"2024-09-08 00:00:00",0,0
"2024-09-15 00:00:00",0,0
"2024-09-22 00:00:00",0,0
"2024-09-29 00:00:00",0,0
"2024-10-06 00:00:00",0,0
"2024-10-13 00:00:00",0,0
